client_id,pix_transactions,avg_pix_value,paid_bills,avg_bill_value,investments,credit_limit,defaulted
0,51,3192.9035380084356,31,6549.386176530148,176897.99273445256,1640.607360666917,0
1,92,9036.548849890978,23,14712.842089676238,319286.3688528162,24285.69877624902,0
2,14,785.631352127925,15,5350.233113053032,294877.70889466256,5214.668143029748,0
3,71,8290.424049767056,10,9212.298674696622,68387.39406066675,22018.304892706154,0
4,60,3495.4118496678175,31,4681.64999813868,422474.73678305134,6370.9785919351825,0
5,20,5220.777966153469,5,14859.018753357745,237594.45612350773,47818.51054032533,0
6,82,7946.911480148422,34,6682.214410454721,81184.61226319651,26630.329912978665,0
7,86,8844.921704759483,32,9515.590874893376,61413.27128736462,45747.68127855552,0
8,74,3454.3663865257436,17,1909.5578475806292,482775.8873225651,2095.9449253225266,0
9,74,4623.816377938352,36,10998.032980806234,140767.555586773,32245.010910212997,0
10,87,4151.015487519755,12,4045.458767555574,454296.793958188,16040.77059440439,0
11,99,142.37782470406637,9,6734.712659916782,205292.64938446946,22159.620802296577,0
12,23,2966.4694596979793,36,13248.164604288595,192960.71522659514,43781.28236551979,1
13,2,4597.300444988293,25,14558.58219812767,350464.484824716,49021.033643178496,0
14,21,4116.8251527155935,45,6374.335806586952,4941.643887730718,13078.105767234267,0
15,52,7222.0729828816375,16,12523.691992637952,169044.76081519527,47464.41098231178,0
16,1,3854.188136038821,0,809.7014283024126,151322.85609590446,34747.62049520424,0
17,87,4898.870725216995,24,12715.134706556035,434049.0471420232,47619.28180350627,0
18,29,4301.78983540231,33,9446.35972906822,264561.76951039163,28555.98293243929,0
19,37,7408.855227454761,38,7335.705464190113,182285.07861212594,48077.05796458206,0
20,1,8631.094265879756,9,13350.555940007343,133039.65514985906,44730.31744922425,0
21,63,5323.571899285066,19,12681.604965371143,295254.90440531453,7300.995320046855,0
22,59,7896.42762000996,6,4461.2069883440445,75836.57027168233,16228.706427984793,0
23,20,2974.8989533783074,15,11874.410851347915,123102.3842543908,12910.096384113082,1
24,32,5418.2824054711145,36,1501.3690955989653,146806.08253237486,29032.866976462596,0
25,75,3458.8472371630246,28,12343.231392655878,303954.4738034705,40337.17214379034,0
26,57,4147.867246462585,11,10135.079714168525,186627.4795082377,38211.16089745718,1
27,21,7326.814509478559,16,1327.1163006698216,252891.65006002472,36610.70748189036,1
28,88,8817.8081985038,47,10249.37180037729,325219.13188329333,19387.97891104371,0
29,48,1223.7389569667764,19,8711.983957378789,478135.80040384363,7842.207199763569,0
30,90,6350.046172308931,25,8922.306016164222,382418.6985513762,11318.594127801363,0
31,58,5825.616637702207,47,4370.050387594181,202628.39028605385,37342.1955227683,0
32,41,1192.9662413675594,18,4004.7930281925505,374137.6871986284,8229.1826139186,0
33,91,2126.8243610966897,46,11440.401329689761,474847.09045960626,11924.388541742534,0
34,59,3116.9149223794757,11,3859.6340804484144,249690.2728270624,21803.07999080107,0
35,79,1677.6413974668396,20,6699.471154630381,205248.46656144486,4533.509103685687,0
36,14,2444.8575304181745,41,10424.887088995783,39009.34950036828,11421.910977736361,0
37,61,2683.331980628458,33,1203.4476073982921,446185.1853254311,8338.638239720593,0
38,61,3363.3815920602055,6,8922.280255348742,123217.1403968278,47614.767362680184,0
